,Gene,Count,p value,q value,Cell
371,Retnlg,3,1.6060431717868084e-07,1.730065394497012e-05,macrophage
372,Apoc1,3,1.6060431717868084e-07,1.730065394497012e-05,macrophage
373,LOC545261,3,1.6060431717868084e-07,1.730065394497012e-05,macrophage
374,Irg1,3,1.6060431717868084e-07,1.730065394497012e-05,macrophage
375,Saa3,3,1.6060431717868084e-07,1.730065394497012e-05,macrophage
376,Hbb-b1,3,1.6060431717868084e-07,1.730065394497012e-05,macrophage
377,Mrap,2,3.4753908269569145e-05,0.000443340974570359,macrophage
378,Ms4a3,2,3.4753908269569145e-05,0.000443340974570359,macrophage
379,Ikbke,2,3.4753908269569145e-05,0.000443340974570359,macrophage
380,Tiam1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
381,Nhsl2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
382,Pqlc2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
383,Gm7609,2,3.4753908269569145e-05,0.000443340974570359,macrophage
384,Vsig4,2,3.4753908269569145e-05,0.000443340974570359,macrophage
385,Gba2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
386,Rab34,2,3.4753908269569145e-05,0.000443340974570359,macrophage
387,Gm15987,2,3.4753908269569145e-05,0.000443340974570359,macrophage
388,Ccne1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
389,Slc6a8,2,3.4753908269569145e-05,0.000443340974570359,macrophage
390,Gm14005,2,3.4753908269569145e-05,0.000443340974570359,macrophage
391,Tacstd2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
392,Wdr76,2,3.4753908269569145e-05,0.000443340974570359,macrophage
393,Sco2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
394,B430306N03Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
395,Pcyox1l,2,3.4753908269569145e-05,0.000443340974570359,macrophage
396,Tmem40,2,3.4753908269569145e-05,0.000443340974570359,macrophage
397,Vcan,2,3.4753908269569145e-05,0.000443340974570359,macrophage
398,Hist1h3i,2,3.4753908269569145e-05,0.000443340974570359,macrophage
399,Mocs1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
400,Gm5150,2,3.4753908269569145e-05,0.000443340974570359,macrophage
401,Gpt,2,3.4753908269569145e-05,0.000443340974570359,macrophage
402,A530064D06Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
403,Mr1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
404,Igj,2,3.4753908269569145e-05,0.000443340974570359,macrophage
405,Fahd2a,2,3.4753908269569145e-05,0.000443340974570359,macrophage
406,Trem1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
407,C1rl,2,3.4753908269569145e-05,0.000443340974570359,macrophage
408,Apoc2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
409,Cxcr5,2,3.4753908269569145e-05,0.000443340974570359,macrophage
410,Slfn4,2,3.4753908269569145e-05,0.000443340974570359,macrophage
411,D730040F13Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
412,Mfsd2b,2,3.4753908269569145e-05,0.000443340974570359,macrophage
413,Sdpr,2,3.4753908269569145e-05,0.000443340974570359,macrophage
414,Galnt6,2,3.4753908269569145e-05,0.000443340974570359,macrophage
415,Slc36a1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
416,Rarres2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
417,Ccl24,2,3.4753908269569145e-05,0.000443340974570359,macrophage
418,Fcnb,2,3.4753908269569145e-05,0.000443340974570359,macrophage
419,Cp,2,3.4753908269569145e-05,0.000443340974570359,macrophage
420,Padi4,2,3.4753908269569145e-05,0.000443340974570359,macrophage
421,Svip,2,3.4753908269569145e-05,0.000443340974570359,macrophage
422,Fam20c,2,3.4753908269569145e-05,0.000443340974570359,macrophage
423,Inhba,2,3.4753908269569145e-05,0.000443340974570359,macrophage
424,Slpi,2,3.4753908269569145e-05,0.000443340974570359,macrophage
425,Plxna1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
426,Tpcn2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
427,Cd300lf,2,3.4753908269569145e-05,0.000443340974570359,macrophage
428,Aqp3,2,3.4753908269569145e-05,0.000443340974570359,macrophage
429,Il1f9,2,3.4753908269569145e-05,0.000443340974570359,macrophage
430,Gm5483,2,3.4753908269569145e-05,0.000443340974570359,macrophage
431,Mlst8,2,3.4753908269569145e-05,0.000443340974570359,macrophage
432,Cebpe,2,3.4753908269569145e-05,0.000443340974570359,macrophage
433,Ccdc92,2,3.4753908269569145e-05,0.000443340974570359,macrophage
434,Nup107,2,3.4753908269569145e-05,0.000443340974570359,macrophage
435,Cd300e,2,3.4753908269569145e-05,0.000443340974570359,macrophage
436,Rnf128,2,3.4753908269569145e-05,0.000443340974570359,macrophage
437,Akr1b8,2,3.4753908269569145e-05,0.000443340974570359,macrophage
438,Cald1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
439,Stfa2l1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
440,Gprc5c,2,3.4753908269569145e-05,0.000443340974570359,macrophage
441,Lhfpl2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
442,Ly6g6c,2,3.4753908269569145e-05,0.000443340974570359,macrophage
443,Ankrd37,2,3.4753908269569145e-05,0.000443340974570359,macrophage
444,F2rl2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
445,C1qtnf1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
446,Chi3l1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
447,9530059O14Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
448,Cd38,2,3.4753908269569145e-05,0.000443340974570359,macrophage
449,Phyhd1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
450,Cdc42ep5,2,3.4753908269569145e-05,0.000443340974570359,macrophage
451,Fhl1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
452,Pdzk1ip1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
453,Mcoln2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
454,Ltf,2,3.4753908269569145e-05,0.000443340974570359,macrophage
455,Pnp2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
456,Atp6v0c-ps2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
457,Hp,2,3.4753908269569145e-05,0.000443340974570359,macrophage
458,Cox7a1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
459,Endou,2,3.4753908269569145e-05,0.000443340974570359,macrophage
460,Cd200r4,2,3.4753908269569145e-05,0.000443340974570359,macrophage
461,Abcc9,2,3.4753908269569145e-05,0.000443340974570359,macrophage
462,5730528L13Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
463,Bdh2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
464,Adamtsl5,2,3.4753908269569145e-05,0.000443340974570359,macrophage
465,Ace,2,3.4753908269569145e-05,0.000443340974570359,macrophage
466,Dmkn,2,3.4753908269569145e-05,0.000443340974570359,macrophage
467,Oas3,2,3.4753908269569145e-05,0.000443340974570359,macrophage
468,Ndrg1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
469,Nfe2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
470,Niacr1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
471,G0s2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
472,Ces1d,2,3.4753908269569145e-05,0.000443340974570359,macrophage
473,H2-M2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
474,Fcna,2,3.4753908269569145e-05,0.000443340974570359,macrophage
475,Mefv,2,3.4753908269569145e-05,0.000443340974570359,macrophage
476,Cd207,2,3.4753908269569145e-05,0.000443340974570359,macrophage
477,Adcy6,2,3.4753908269569145e-05,0.000443340974570359,macrophage
478,Galnt9,2,3.4753908269569145e-05,0.000443340974570359,macrophage
479,Hmgb3,2,3.4753908269569145e-05,0.000443340974570359,macrophage
480,1700112E06Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
481,Hdc,2,3.4753908269569145e-05,0.000443340974570359,macrophage
482,Zfp944,2,3.4753908269569145e-05,0.000443340974570359,macrophage
483,Dennd5b,2,3.4753908269569145e-05,0.000443340974570359,macrophage
484,Hs1bp3,2,3.4753908269569145e-05,0.000443340974570359,macrophage
485,Rasgrp1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
486,Syngr1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
487,Hmgcs2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
488,Cyp1b1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
489,Camp,2,3.4753908269569145e-05,0.000443340974570359,macrophage
490,C7,2,3.4753908269569145e-05,0.000443340974570359,macrophage
491,Nr2f2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
492,Fam117a,2,3.4753908269569145e-05,0.000443340974570359,macrophage
493,C1ra,2,3.4753908269569145e-05,0.000443340974570359,macrophage
494,8430427H17Rik,2,3.4753908269569145e-05,0.000443340974570359,macrophage
495,Ms4a8a,2,3.4753908269569145e-05,0.000443340974570359,macrophage
496,Serpine2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
497,Cyp4b1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
498,Pik3r2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
499,Bmx,2,3.4753908269569145e-05,0.000443340974570359,macrophage
500,Dem1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
501,Ank3,2,3.4753908269569145e-05,0.000443340974570359,macrophage
502,Dmpk,2,3.4753908269569145e-05,0.000443340974570359,macrophage
503,Gpnmb,2,3.4753908269569145e-05,0.000443340974570359,macrophage
504,Pir,2,3.4753908269569145e-05,0.000443340974570359,macrophage
505,Treml2,2,3.4753908269569145e-05,0.000443340974570359,macrophage
506,Lyve1,2,3.4753908269569145e-05,0.000443340974570359,macrophage
507,Fam55d,2,3.4753908269569145e-05,0.000443340974570359,macrophage
508,Polrmt,2,3.4753908269569145e-05,0.000443340974570359,macrophage
509,Mapk13,2,3.4753908269569145e-05,0.000443340974570359,macrophage
510,Penk,2,3.4753908269569145e-05,0.000443340974570359,macrophage
