,Gene,Count,p value,q value
574,Ctla2a,5,0.00024593194127575657,0.003735454446621531
575,0610010O12Rik,5,0.00024593194127575657,0.003735454446621531
576,Sprr1a,5,0.00024593194127575657,0.003735454446621531
577,Oas1g,5,0.00024593194127575657,0.003735454446621531
578,Folr4,5,0.00024593194127575657,0.003735454446621531
579,Slfn1,5,0.00024593194127575657,0.003735454446621531
580,Itgb2l,5,0.00024593194127575657,0.003735454446621531
581,Scgb1a1,5,0.00024593194127575657,0.003735454446621531
582,Cldn2,5,0.00024593194127575657,0.003735454446621531
583,Slco2a1,5,0.00024593194127575657,0.003735454446621531
584,Pou2f2,5,0.00024593194127575657,0.003735454446621531
585,Podxl,5,0.00024593194127575657,0.003735454446621531
586,Fermt3,5,0.00024593194127575657,0.003735454446621531
587,Ace,5,0.00024593194127575657,0.003735454446621531
588,Hoxc4,5,0.00024593194127575657,0.003735454446621531
589,Treml4,5,0.00024593194127575657,0.003735454446621531
590,Tnfaip8l2,5,0.00024593194127575657,0.003735454446621531
591,Hmha1,5,0.00024593194127575657,0.003735454446621531
592,Dtx1,5,0.00024593194127575657,0.003735454446621531
593,Sell,5,0.00024593194127575657,0.003735454446621531
594,Slc38a5,5,0.00024593194127575657,0.003735454446621531
595,Siglecg,5,0.00024593194127575657,0.003735454446621531
596,Cdk1,5,0.00024593194127575657,0.003735454446621531
597,Itga4,5,0.00024593194127575657,0.003735454446621531
598,6330512M04Rik,5,0.00024593194127575657,0.003735454446621531
599,Slamf6,5,0.00024593194127575657,0.003735454446621531
600,Tmem171,5,0.00024593194127575657,0.003735454446621531
601,Sult5a1,5,0.00024593194127575657,0.003735454446621531
602,Ankrd22,5,0.00024593194127575657,0.003735454446621531
603,Fgl2,5,0.00024593194127575657,0.003735454446621531
604,Bcl2l14,5,0.00024593194127575657,0.003735454446621531
605,Slc7a4,5,0.00024593194127575657,0.003735454446621531
606,Chst2,5,0.00024593194127575657,0.003735454446621531
607,Oas2,5,0.00024593194127575657,0.003735454446621531
608,AF251705,5,0.00024593194127575657,0.003735454446621531
609,Alox5,5,0.00024593194127575657,0.003735454446621531
610,Hcst,5,0.00024593194127575657,0.003735454446621531
611,Tnfrsf18,5,0.00024593194127575657,0.003735454446621531
612,Syt7,5,0.00024593194127575657,0.003735454446621531
613,Zdhhc24,5,0.00024593194127575657,0.003735454446621531
614,6030408B16Rik,5,0.00024593194127575657,0.003735454446621531
615,Itgam,5,0.00024593194127575657,0.003735454446621531
616,Clic5,5,0.00024593194127575657,0.003735454446621531
617,Ctsg,5,0.00024593194127575657,0.003735454446621531
618,A530032D15Rik,5,0.00024593194127575657,0.003735454446621531
619,Nfam1,5,0.00024593194127575657,0.003735454446621531
620,Ncf1,5,0.00024593194127575657,0.003735454446621531
621,Lst1,5,0.00024593194127575657,0.003735454446621531
622,Lrrc26,5,0.00024593194127575657,0.003735454446621531
623,AB124611,5,0.00024593194127575657,0.003735454446621531
624,Mbnl3,5,0.00024593194127575657,0.003735454446621531
625,Cd8b1,5,0.00024593194127575657,0.003735454446621531
626,Osbpl7,5,0.00024593194127575657,0.003735454446621531
627,Neurl3,5,0.00024593194127575657,0.003735454446621531
628,Tmem51,5,0.00024593194127575657,0.003735454446621531
629,Ankrd1,5,0.00024593194127575657,0.003735454446621531
630,Cd300lf,5,0.00024593194127575657,0.003735454446621531
631,Prkcb,5,0.00024593194127575657,0.003735454446621531
632,Enpp6,5,0.00024593194127575657,0.003735454446621531
633,Slc4a8,5,0.00024593194127575657,0.003735454446621531
634,Eya2,5,0.00024593194127575657,0.003735454446621531
